id,bathroom,locality,property_size,rent_amount,type_bhk
659,3,Kondapur,1455,24000,3
664,3,Serilingampally,1650,24000,3
671,2,Miyapur,1175,14000,2
672,2,Miyapur,1175,14000,2
674,3,Kompally,1885,30000,3
677,2,Ramachandra Puram,1000,10900,2
678,2,Kapra,1250,13500,2
680,2,Kukatpally,1265,18000,3
681,2,Begumpet,980,14000,2
682,2,Peerzadiguda,1000,7500,2
684,2,Jeedimetla,1100,13500,2
686,3,Yapral,2500,20000,3
687,2,Saroornagar,1000,10000,2
688,3,Chanda Nagar,1150,12000,3
689,2,Attapur,1200,12000,2
690,2,Kondapur,1443,30000,3
694,2,Kukatpally,1010,21000,3
697,3,Gopanpally,1550,26500,3
701,2,Hafeezpet,1100,20000,2
702,3,Adibatla,1150,12000,2
705,2,Nizampet,1100,9500,2
707,3,Gachibowli,1460,28000,3
708,2,Hayathnagar,1500,7500,2
710,2,Nizampet,1500,14000,3
713,2,Mehdipatnam,950,15000,2
714,2,Mehdipatnam,950,15000,2
716,2,Saroornagar,650,9000,2
718,2,Manikonda,900,18000,2
720,1,Saroornagar,800,8000,1
722,2,Kompally,1250,9000,2
726,3,Manikonda,1550,27000,3
739,3,Kukatpally ,1600,20000,3
740,2,Habsiguda,1112,12500,2
743,2,Kukatpally,1000,13000,2
744,3,Hafeezpet,1400,13000,3
750,1,Mettuguda,500,6000,1
753,2,Shamshabad,2070,10500,2
761,3,Kukatpally,1425,22000,3
764,3,Miyapur,1630,25000,3
766,3,Kondapur,1550,18000,3
770,3,Yapral,2500,20000,4
772,2,Adibatla,1150,18000,2
775,3,Miyapur,1555,15000,3
779,2,Kondapur,1012,18000,2
781,2,Pragathi Nagar,1100,13000,2
787,2,Kukatpally,1100,15000,2
789,2,Pragathi Nagar,1200,15000,2
793,3,Jubilee Hills,1515,20000,3
795,2,Miyapur,1150,20000,2
796,2,Kothapet,1204,15000,3
797,2,Yella Reddy Guda,1208,16000,2
798,2,Yella Reddy Guda,1208,16000,2
801,2,Kokapet,1420,24000,3
802,2,Jubilee Hills,900,20000,2
805,2,Miyapur,1100,20000,2
806,2,Kondapur,1021,18500,2
810,2, Nizampet,1000,12000,2
812,2,Neknampur,1500,23000,3
817,1,Saroornagar,700,8000,1
818,3,Mallapur,2400,18000,3
819,3,Mallapur,2400,18000,3
821,2,Saroornagar,600,9000,2
822,3,Mehdipatnam,1325,19000,3
827,2,Krishna Reddy Pet,850,10500,2
829,2,Jubilee Hills,1450,18000,3
834,1,Madeenaguda,900,7500,2
837,3,Madinaguda,1345,20000,3
838,3,Ameerpet,1750,22000,3
842,2,Narsingi,800,12000,2
844,2,Kothapet,850,9000,2
845,2,Balanagar,1100,15000,2
848,1,Gajularamaram,700,8000,1
850,2,Ameerpet,1100,24000,3
851,1,Kondapur,600,8000,1
854,2,Kondapur,1010,15000,2
855,1,Madhapur,630,9000,1
864,2,Pragathi Nagar,1300,11000,2
865,3,Kondapur,1550,26000,3
866,3,Kukatpally,1400,18000,3
869,2,Gachibowli,1503,18000,3
870,2,Manikonda,1375,20000,3
873,2,Patancheruvu,1170,11000,2
877,2,Chintal,1020,16000,2
879,3,Manikonda,1530,24000,3
881,3,Shaikpet,1890,30000,3
882,3,Shaikpet,1890,30000,3
883,3,Kondapur,2200,30000,3
884,3,Kondapur,1400,23000,3
885,2,Kondapur,1260,19000,2
887,2,Yousufguda,900,15000,2
890,3,Kismatpur,1550,16000,3
892,2,Upparpally,1300,15000,2
899,3,Peeranchuruvu,1642,30000,3
900,3,Himayatnagar,1450,25000,3
908,2,Sainikpuri,1300,18000,2
910,2,Hafeezpet,930,18500,2
914,2,Sainikpuri,1560,16000,3
916,3,Nagole,1300,25000,3
918,2,Gachibowli,1000,17000,2
929,3,Kukatpally,1595,18000,3
933,2,Badangpet,900,7000,2
934,2,Pragathi Nagar,1050,11000,2
940,3,Rajendranagar Mandal,2000,28000,3
942,2,Saroornagar,1269,14500,3
943,2,Miyapur,1150,12000,2
948,2,Kukatpally,700,10000,1
950,2,Malkajgiri,700,8000,2
955,3,Ramanthapur,2200,28000,3
958,2,Bandlaguda Jagir,1200,16000,2
